,員工滿意度,雇主評分,工作項目,每月工作時數,工作年資,工傷紀錄,在職中,近5年升遷,職務,薪資
426,0.41,0.48,2,139,3,0,1,0,技術員,低
427,0.36,0.78,2,151,4,0,1,0,技術員,低
428,0.77,1,5,229,5,0,1,0,經理,低
429,0.81,0.98,5,245,5,0,1,0,資訊科技,低
430,0.39,0.54,2,127,3,0,1,0,資訊科技,低
431,0.09,0.94,6,283,5,0,1,0,資訊科技,低
432,0.44,0.46,2,143,3,0,1,0,資訊科技,低
433,0.1,0.84,5,298,4,0,1,0,資訊科技,低
434,0.36,0.48,2,159,3,0,1,0,產品管理,低
435,0.81,0.92,5,239,5,0,1,0,產品管理,低
436,0.81,0.9,4,226,5,0,1,0,產品管理,中
437,0.85,0.98,5,248,5,0,1,0,產品管理,中
438,0.1,0.87,6,286,4,0,1,0,資訊科技,中
439,0.37,0.54,2,145,3,0,1,0,研發,中
440,0.09,0.97,7,254,4,1,1,0,研發,中
441,0.44,0.53,2,127,3,0,1,0,研發,中
442,0.86,0.93,5,223,5,0,1,0,研發,中
443,0.77,1,4,255,5,0,1,0,研發,中
444,0.41,0.48,2,136,3,0,1,0,行銷,中
445,0.4,0.48,2,137,3,0,1,0,業務,中
446,0.43,0.49,2,135,3,0,1,0,財務會計,中
447,0.43,0.5,2,137,3,0,1,0,技術支援,中
448,0.8,0.53,3,255,5,0,1,0,技術員,高
449,0.8,0.85,4,273,5,0,1,0,經理,低
450,0.82,0.98,5,234,5,0,1,0,行銷,中
451,0.37,0.54,2,152,3,0,1,0,行銷,中
452,0.37,0.48,2,134,3,0,1,0,行銷,中
453,0.09,0.95,6,292,4,0,1,0,業務,中
454,0.9,0.92,5,245,5,0,1,0,業務,低
455,0.41,0.52,2,159,3,0,1,0,業務,低
456,0.1,0.85,6,260,4,0,1,0,業務,低
457,0.44,0.53,2,149,3,0,1,0,業務,低
458,0.89,0.85,5,266,5,0,1,0,業務,低
459,0.42,0.56,2,149,3,0,1,0,業務,低
460,0.87,1,5,242,5,0,1,0,業務,低
461,0.45,0.57,2,134,3,0,1,0,業務,低
462,0.11,0.87,5,271,4,0,1,0,業務,低
463,0.09,0.79,6,275,4,0,1,0,業務,低
464,0.76,0.83,5,227,5,0,1,0,業務,低
465,0.11,0.96,7,277,5,0,1,0,業務,低
466,0.37,0.49,2,151,3,0,1,0,業務,低
467,0.1,0.79,6,274,4,0,1,0,業務,低
468,0.77,0.87,4,242,6,0,1,0,業務,低
469,0.42,0.54,2,143,3,1,1,0,業務,低
470,0.38,0.52,2,145,3,0,1,0,業務,低
471,0.32,0.95,5,172,2,0,1,0,業務,低
472,0.38,0.49,2,135,3,0,1,0,財務會計,低
473,0.19,1,4,192,4,0,1,0,財務會計,低
474,0.1,0.83,7,276,4,0,1,0,財務會計,低
475,0.76,0.88,4,206,4,0,1,0,人力資源,中
476,0.53,0.56,4,281,6,0,1,0,人力資源,中
477,0.39,0.51,2,151,3,0,1,0,人力資源,中
478,0.11,0.83,6,244,4,0,1,0,人力資源,中
479,0.1,0.94,6,309,4,0,1,0,技術員,中
480,0.84,1,5,218,5,0,1,0,技術員,中
481,0.82,0.99,4,263,6,0,1,0,技術員,中
482,0.1,0.82,6,244,4,0,1,0,技術員,中
483,0.59,0.49,7,263,4,0,1,0,技術員,中
484,0.44,0.48,2,143,3,0,1,0,技術員,中
485,0.89,0.95,2,181,5,0,1,0,技術員,中
486,0.91,0.84,5,265,5,0,1,0,技術員,中
487,0.66,0.57,5,161,5,0,1,0,技術員,高
488,0.11,0.87,7,282,5,0,1,0,技術員,低
489,0.43,0.51,2,155,3,0,1,0,技術員,中
490,0.78,0.83,4,217,6,0,1,0,技術支援,中
491,0.11,0.97,6,289,5,0,1,0,技術支援,中
492,0.83,0.98,4,259,5,0,1,0,技術支援,中
493,0.39,0.54,2,158,3,0,1,0,技術支援,低
494,0.38,0.55,2,158,3,0,1,0,技術支援,低
